Business Req ID,User Story,Acceptance Criteria
SAW.03.02_US-01,"As a
Key Wealth User
I want
to ensure all servicing workflows that require interactions with Salesforce(B2C) and Envestnet have a defined solution
So that
we can ensure our business processes function as needed in future state","Given
We have compiled a list of all current state servicing workflows
When
Reviewed to ensure all required Salesforce (B2C) and Envestnet workflow interactions are accounted for, including:
Invest
Divest
Funding
Withdrawal
Termination
Account Maintenance
Updating Models
Then
We should see those updatesincluded in all future stateworkflows"
SAW 03.05_US 01,"As a
Key Wealth User
I want
to identify all servicing scenarios that could be improved that are not workflow dependent
So that
we can make our processing more efficient","Given
We have identified all servicing scenarios that could be improved,that are not workflow dependent
When
Reviewing future state workflows and an opportunity arises for improvement:
process driven
technical enhancements
Then
We can make updates to workflowsthat reflect these changes"
OAO-O1.01_US-03a,"As a 
KIS FO user
I want 
the KIS client user onboarding workflow to create a new SIS document
So that 
it can be included in the new account enrollment package.","Given
Key Investment Services onboarding process workflows are being updated
When
an advisor is onboarding a client/new account
Then
a new SIS (Statement of Investment Selection) document should be created
Note: This is a one-time development story for the creation of the new document for the very first time in the future state."
OAO-01.01_US-03c,"As a
KIS FO user
I want
the KIS client user onboarding workflow to send an email with consent to enroll in e-delivery/paperless statements document
So that
it can encourage clients to enroll in e-delivery/paperless statements","Given
Key wealth onboarding process workflows are being updated
When
a new account is being onboarded for a KIS client
Then
an email should be sent to clients (as part of campaign trigger) to encourage them for consenting to enroll in e-delivery/paperless statements"
OAO-02.03_US-03ci,,
OAO-02.03_US-03cii,,
CEX-01.05_US-03,,
CEX-01.05_US-05,,
OAO-01.01_US-04,"As a
Key wealth leader
I want
the new documents to be included in the enrollment package
So that
the client can sign physically or digitally","Given
Key wealth onboarding processworkflows are being updated
When
the draft account is created inCob 2.0/Net X
Then
the SIS document should be included in the new account onboarding package for the clients to sign physically or digitally.
Note:
This story is for including SIS in the new account enrollment package"
OAO-01.02_US-01,"As a 
Wealth Leader
I want 
the two-day delay to be made near real-time
So that 
client and account information is available to enroll into online banking and access their accounts","Given
a client with no online banking access is being onboarded
Or
the client has online banking but needs access to the new account
When
the account is active in Pershing
Then
the relevant client information should be made available for IBX real-time
And
client should be encouraged to enroll into online banking if they haven’t already.
And
have access to the new account in online banking when they enroll."
OAO-01.04_US-01,"As a
Key wealth leader
I want
the new Key wealth client user onboarding workflow in Salesforce to pre-fill data wherever possible
So that
I do not have to re-keydata.","Given
an advisor/RM is in Salesforce to create a wealth client/opportunity/prospect
When
prior information on the client/opportunity/prospect exists in the wealth instance of Salesforce
Then
the existing data should get auto populated and editable, where applicable."
OAO-01.04_US-02a,"As a
KIS FO user
I want
to ensure that the new KIS client account onboarding workflow is able to autopopulate data where applicable, within RSQ
So that
I do not have to re-keydata.","Given
an advisor is onboarding a client
When
filling in the RSQ within Salesforce
If
a previously completed RSQ exists for the same client
Then
appropriate data attributes of the RSQ should be auto populated
and editable, to eliminate rekeying of data."
OAO-01.04_US-03a,"As a
KIS FO user
I want
to ensure that the new KIS client account onboarding workflow is able to autopopulate data where applicable in Right Bridge
So that
I do not have to re-keydata.","Given
an advisor is onboarding a client/account
When
in RightBridge for doing Reg BI
Then
the client/lead/prospect’s information should be autopopulated in RightBridge whereapplicable, to eliminate re-keying of data."
OAO-02.02_US-01,"As a
KIS FO user
I want
to begin the onboarding process through Salesforce
So that
Salesforce becomes the single point of origination","Given
Key Investment Services onboarding process workflows are being updated
When
onboarding a KIS account
Then
advisors should be able to initiate that onboarding process only through Salesforce
And
Not allowed to begin the process from anywhere else"
OAO-02.03_US-01,"As a
KIS FO user
I want
to create a new or update an existing client/lead/opportunity in Salesforce B2C 
So that
the client information can be made available for future servicing.","Given
Key Investment Services onboarding process workflows are being updated
When
creating a new or updating an existing client/lead/opportunity in Salesforce
Then
the client record should be created/updated with data entered currently, for future servicing."
OAO-02.03_US-02c,"As a
KIS FO user
I want
to initiate proposal creation process through Salesforce for a new client being onboarded
So that
RSQ can be done","Given
a new KIS account is being onboarded
When
advisor initiates the proposal creation process
Then
the advisor should be able to launch the Risk Survey Questionnaire"
